13:30:35.345 logback [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method selectEquipmentData was equipment_datacontrller
13:30:35.345 logback [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method selectEquipmentData was equipment_datacontrller
13:30:35.361 logback [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method selectEquipmentData was equipment_datacontrller
13:30:35.361 logback [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method selectEquipmentData was equipment_datacontrller
13:30:35.361 logback [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method selectEquipmentData was equipment_datacontrller
13:30:35.361 logback [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method selectEquipmentData was equipment_datacontrller
13:30:35.361 logback [main] INFO  s.d.schema.ModelContextKeyGenerator - Cache Key Generated: java.lang.Object(true)
13:30:35.361 logback [main] INFO  s.d.spring.web.caching.CachingAspect - Caching aspect applied for cache models with key java.lang.Object(true)
13:30:35.361 logback [main] INFO  s.d.schema.ModelContextKeyGenerator - Cache Key Generated: java.lang.Object(true)
13:30:35.361 logback [main] INFO  s.d.spring.web.caching.CachingAspect - Caching aspect applied for cache modelDependencies with key java.lang.Object(true)
13:30:35.361 logback [main] INFO  s.d.s.web.OperationsKeyGenerator - Cache key generated: /Equipment_data/selectEquipmentData4Chart.htm.com.environment.contrller.Equipment_dataContrller.selectEquipmentData4Chart.DefaultGenericTypeNamingStrategy
13:30:35.361 logback [main] INFO  s.d.spring.web.caching.CachingAspect - Caching aspect applied for cache operations with key /Equipment_data/selectEquipmentData4Chart.htm.com.environment.contrller.Equipment_dataContrller.selectEquipmentData4Chart.DefaultGenericTypeNamingStrategy
13:30:35.376 logback [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method selectEquipmentData4Chart was equipment_datacontrller
13:30:35.392 logback [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method selectEquipmentData4Chart was equipment_datacontrller
13:30:35.392 logback [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method selectEquipmentData4Chart was equipment_datacontrller
